jar_nr;weight_empty_g;weight_full_g;notes;
contr_A;655,2;1675,49;Halterung außen;jeweils: 3 Klammern, Labelung, Dichtung, Rührfisch, Halterung innen
1;650,8;1671,76;;
2;655,62;1678,43;Halterung außen;
3;652,47;1677,96;Halterung außen;
4;652,78;1679,58;Halterung außen;
5;655,81;1680,08;Halterung außen;
6;654,73;1678,26;Halterung außen;
7;652,08;1675,08;Halterung außen;
8;652,65;1678,09;Halterung außen;
9;651,13;1677,09;Halterung außen;
10;655,82;1672,51;Halterung außen;
11;654,77;1673,27;Halterung außen;
12;654,36;1671,15;Halterung außen;
contr_B;651,32;1671,49;;
contr_C;651,71;1673,43;;
